id,candidatoId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,fecha
28763,16,1,4,2,2,5,5,5,5,5,2,1,4,5,5,2,5,4,1,4,2,3,4,5,5,1,5,2019-02-20T00:21:45.533731
28764,4,1,2,2,1,5,4,2,2,4,4,1,1,1,1,2,2,1,4,1,1,2,2,5,1,1,4,2019-02-20T00:21:46.345460
28774,1,1,2,5,1,1,1,1,5,2,3,1,1,5,1,1,3,1,5,1,1,5,5,5,1,1,5,2019-02-20T00:21:52.528959
28779,17,2,1,4,1,1,1,1,1,1,4,1,1,1,3,2,2,1,5,3,3,3,2,2,3,3,1,2019-02-20T00:21:58.607445
28790,4,2,1,5,1,5,4,1,3,1,2,1,1,1,1,3,3,1,2,4,1,1,1,5,1,1,2,2019-02-20T00:22:09.380284
28791,19,2,2,5,1,2,3,1,3,1,4,4,1,1,1,1,4,1,5,1,1,1,1,5,1,1,5,2019-02-20T00:22:10.387858
28801,10,2,4,1,2,3,5,5,5,4,5,5,5,4,5,4,5,5,1,3,1,1,1,5,1,1,5,2019-02-20T00:22:20.289333
28812,16,4,5,5,5,2,5,5,3,5,1,1,1,1,2,2,1,5,1,1,5,5,5,5,3,5,5,2019-02-20T00:22:28.061757
28817,9,4,5,3,3,2,5,5,5,4,3,2,4,5,4,5,5,5,3,4,5,5,5,5,5,5,5,2019-02-20T00:22:33.807840
28826,9,1,5,1,2,1,5,5,4,5,4,5,5,5,4,5,4,5,1,5,5,5,5,5,5,1,4,2019-02-20T00:22:41.479612
28835,9,3,5,2,1,1,5,5,5,4,3,2,3,5,4,3,5,5,1,2,4,4,5,3,5,1,4,2019-02-20T00:22:54.325247
28836,11,5,5,3,1,1,5,5,5,5,5,1,5,5,1,3,1,5,1,3,5,3,5,5,5,1,5,2019-02-20T00:22:54.986186
28842,3,4,5,3,5,4,5,3,2,5,3,3,5,4,1,3,4,5,2,3,5,1,1,5,1,1,5,2019-02-20T00:22:58.976228
28847,2,5,3,4,2,5,4,1,3,5,3,2,1,1,2,4,4,1,3,1,1,1,1,5,1,1,5,2019-02-20T00:23:02.284504
28856,3,3,1,5,1,5,4,2,3,4,5,1,1,5,1,1,5,1,2,1,1,1,1,5,1,1,2,2019-02-20T00:23:07.128416
28857,17,5,5,2,5,1,5,5,5,5,2,5,5,5,1,5,5,5,1,5,1,1,5,3,1,1,5,2019-02-20T00:23:08.285685
28864,9,1,5,3,1,1,5,4,5,5,2,5,5,5,3,4,4,5,1,5,5,4,5,5,5,5,5,2019-02-20T00:23:12.198701
28865,12,3,1,2,4,4,5,4,2,5,4,5,4,4,4,2,4,5,1,2,5,3,3,1,2,3,5,2019-02-20T00:23:14.034968
28868,16,3,5,3,3,4,5,4,4,5,4,4,1,5,3,3,3,3,3,3,4,3,5,5,3,3,5,2019-02-20T00:23:14.042499
28870,3,3,1,2,2,5,3,3,3,5,4,5,4,4,2,2,4,1,3,1,1,1,1,5,1,1,4,2019-02-20T00:23:16.774942
28879,9,3,5,2,3,1,5,5,5,4,1,5,1,5,3,4,4,5,3,3,5,5,3,2,5,5,4,2019-02-20T00:23:26.405974
28884,12,4,5,1,2,3,4,4,5,5,5,1,1,4,4,2,4,5,1,4,2,1,1,5,4,3,5,2019-02-20T00:23:30.180614
28886,3,4,1,5,1,5,1,4,5,3,5,1,3,3,1,1,5,1,5,1,1,1,1,5,1,1,5,2019-02-20T00:23:34.584570
28896,17,2,5,1,1,3,5,5,4,5,4,5,4,5,5,4,4,5,3,4,1,2,1,5,2,1,4,2019-02-20T00:23:39.993416
28898,3,1,1,5,3,5,5,3,2,2,2,1,1,4,1,1,1,5,2,1,1,1,5,5,1,1,5,2019-02-20T00:23:41.109372
28907,16,3,5,1,3,1,5,5,4,5,4,1,1,5,1,3,5,5,1,1,4,5,4,5,5,5,5,2019-02-20T00:23:46.961674
28911,3,2,3,4,2,3,5,4,4,5,4,4,4,5,3,4,4,4,5,3,1,3,4,5,1,1,5,2019-02-20T00:23:49.233657
28923,9,5,5,1,1,1,5,5,5,5,5,1,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,2019-02-20T00:23:56.056721
28928,10,3,5,4,1,1,5,5,5,5,4,5,4,4,5,4,3,5,3,3,5,5,5,1,5,5,4,2019-02-20T00:23:58.852731
